label	readable
Case=Voc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Vocatif Singulier Masculin Féminin Participe Présent Actif - VER
Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Accusatif Singulier Masculin Féminin Participe Présent Actif - VER
Case=Gen|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Génitif Singulier Masculin Féminin Participe Présent Actif - VER
Case=Dat|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Datif Singulier Masculin Féminin Participe Présent Actif - VER
Case=Abl|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Ablatif Singulier Masculin Féminin Participe Présent Actif - VER
Case=Loc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Locatif Singulier Masculin Féminin Participe Présent Actif - VER
Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Nominatif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Voc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Vocatif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Acc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Accusatif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Gen|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Génitif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Dat|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Datif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Abl|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Ablatif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Loc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Locatif Pluriel Masculin Féminin Participe Présent Actif - VER
Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Nominatif Singulier Masculin Participe Présent Actif - VER
Case=Voc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Vocatif Singulier Masculin Participe Présent Actif - VER
Case=Acc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Accusatif Singulier Masculin Participe Présent Actif - VER
Case=Gen|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Génitif Singulier Masculin Participe Présent Actif - VER
Case=Dat|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Datif Singulier Masculin Participe Présent Actif - VER
Case=Abl|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Ablatif Singulier Masculin Participe Présent Actif - VER
Case=Loc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Locatif Singulier Masculin Participe Présent Actif - VER
Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Nominatif Pluriel Masculin Participe Présent Actif - VER
Case=Voc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Vocatif Pluriel Masculin Participe Présent Actif - VER
Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Accusatif Pluriel Masculin Participe Présent Actif - VER
Case=Gen|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Génitif Pluriel Masculin Participe Présent Actif - VER
Case=Dat|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Datif Pluriel Masculin Participe Présent Actif - VER
Case=Abl|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Ablatif Pluriel Masculin Participe Présent Actif - VER
Case=Loc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Pres|Voice=Act	Locatif Pluriel Masculin Participe Présent Actif - VER
Case=Nom|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Nominatif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Voc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Vocatif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Accusatif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Gen|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Génitif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Dat|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Datif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Ablatif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Loc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Locatif Singulier Masculin Neutre Participe Présent Actif - VER
Case=Nom|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Nominatif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Voc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Vocatif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Acc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Accusatif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Gen|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Génitif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Dat|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Datif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Abl|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Ablatif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Loc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act	Locatif Pluriel Masculin Neutre Participe Présent Actif - VER
Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Nominatif Singulier Neutre Participe Présent Actif - VER
Case=Voc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Vocatif Singulier Neutre Participe Présent Actif - VER
Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Accusatif Singulier Neutre Participe Présent Actif - VER
Case=Gen|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Génitif Singulier Neutre Participe Présent Actif - VER
Case=Dat|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Datif Singulier Neutre Participe Présent Actif - VER
Case=Abl|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Ablatif Singulier Neutre Participe Présent Actif - VER
Case=Loc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Locatif Singulier Neutre Participe Présent Actif - VER
Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Nominatif Pluriel Neutre Participe Présent Actif - VER
Case=Voc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Vocatif Pluriel Neutre Participe Présent Actif - VER
Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Accusatif Pluriel Neutre Participe Présent Actif - VER
Case=Gen|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Génitif Pluriel Neutre Participe Présent Actif - VER
Case=Dat|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Datif Pluriel Neutre Participe Présent Actif - VER
Case=Abl|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Ablatif Pluriel Neutre Participe Présent Actif - VER
Case=Loc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	Locatif Pluriel Neutre Participe Présent Actif - VER
Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Singulier Commun Participe Parfait Passif - VER
Case=Voc|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Singulier Commun Participe Parfait Passif - VER
Case=Acc|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Singulier Commun Participe Parfait Passif - VER
Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Génitif Singulier Commun Participe Parfait Passif - VER
Case=Dat|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Datif Singulier Commun Participe Parfait Passif - VER
Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Singulier Commun Participe Parfait Passif - VER
Case=Loc|Numb=Sing|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Locatif Singulier Commun Participe Parfait Passif - VER
Case=Nom|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Pluriel Commun Participe Parfait Passif - VER
Case=Voc|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Pluriel Commun Participe Parfait Passif - VER
Case=Acc|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Pluriel Commun Participe Parfait Passif - VER
Case=Gen|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Génitif Pluriel Commun Participe Parfait Passif - VER
Case=Dat|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Datif Pluriel Commun Participe Parfait Passif - VER
Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Pluriel Commun Participe Parfait Passif - VER
Case=Loc|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	Locatif Pluriel Commun Participe Parfait Passif - VER
Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Singulier Féminin Participe Parfait Passif - VER
Case=Voc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Singulier Féminin Participe Parfait Passif - VER
Case=Acc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Singulier Féminin Participe Parfait Passif - VER
Case=Gen|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Génitif Singulier Féminin Participe Parfait Passif - VER
Case=Dat|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Datif Singulier Féminin Participe Parfait Passif - VER
Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Singulier Féminin Participe Parfait Passif - VER
Case=Loc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Locatif Singulier Féminin Participe Parfait Passif - VER
Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Pluriel Féminin Participe Parfait Passif - VER
Case=Voc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Pluriel Féminin Participe Parfait Passif - VER
Case=Acc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Pluriel Féminin Participe Parfait Passif - VER
Case=Gen|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Génitif Pluriel Féminin Participe Parfait Passif - VER
Case=Dat|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Datif Pluriel Féminin Participe Parfait Passif - VER
Case=Abl|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Pluriel Féminin Participe Parfait Passif - VER
Case=Loc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	Locatif Pluriel Féminin Participe Parfait Passif - VER
Case=Nom|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Voc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Gen|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Génitif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Dat|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Datif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Abl|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Loc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Locatif Singulier Masculin Féminin Participe Parfait Passif - VER
Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Voc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Acc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Gen|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Génitif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Dat|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Datif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Abl|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Loc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Perf|Voice=Pass	Locatif Pluriel Masculin Féminin Participe Parfait Passif - VER
Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Singulier Masculin Participe Parfait Passif - VER
Case=Voc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Singulier Masculin Participe Parfait Passif - VER
Case=Acc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Singulier Masculin Participe Parfait Passif - VER
Case=Gen|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Génitif Singulier Masculin Participe Parfait Passif - VER
Case=Dat|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Datif Singulier Masculin Participe Parfait Passif - VER
Case=Abl|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Singulier Masculin Participe Parfait Passif - VER
Case=Loc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Locatif Singulier Masculin Participe Parfait Passif - VER
Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Pluriel Masculin Participe Parfait Passif - VER
Case=Voc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Pluriel Masculin Participe Parfait Passif - VER
Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Pluriel Masculin Participe Parfait Passif - VER
Case=Gen|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Génitif Pluriel Masculin Participe Parfait Passif - VER
Case=Dat|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Datif Pluriel Masculin Participe Parfait Passif - VER
Case=Abl|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Pluriel Masculin Participe Parfait Passif - VER
Case=Loc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	Locatif Pluriel Masculin Participe Parfait Passif - VER
Case=Nom|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Voc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Gen|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Génitif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Dat|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Datif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Loc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Locatif Singulier Masculin Neutre Participe Parfait Passif - VER
Case=Nom|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Voc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Acc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Gen|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Génitif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Dat|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Datif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Abl|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Loc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass	Locatif Pluriel Masculin Neutre Participe Parfait Passif - VER
Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Singulier Neutre Participe Parfait Passif - VER
Case=Voc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Singulier Neutre Participe Parfait Passif - VER
Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Singulier Neutre Participe Parfait Passif - VER
Case=Gen|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Génitif Singulier Neutre Participe Parfait Passif - VER
Case=Dat|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Datif Singulier Neutre Participe Parfait Passif - VER
Case=Abl|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Singulier Neutre Participe Parfait Passif - VER
Case=Loc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Locatif Singulier Neutre Participe Parfait Passif - VER
Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Nominatif Pluriel Neutre Participe Parfait Passif - VER
Case=Voc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Vocatif Pluriel Neutre Participe Parfait Passif - VER
Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Accusatif Pluriel Neutre Participe Parfait Passif - VER
Case=Gen|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Génitif Pluriel Neutre Participe Parfait Passif - VER
Case=Dat|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Datif Pluriel Neutre Participe Parfait Passif - VER
Case=Abl|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Ablatif Pluriel Neutre Participe Parfait Passif - VER
Case=Loc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	Locatif Pluriel Neutre Participe Parfait Passif - VER
Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Nominatif Singulier Commun Participe Futur Actif - VER
Case=Voc|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Vocatif Singulier Commun Participe Futur Actif - VER
Case=Acc|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Accusatif Singulier Commun Participe Futur Actif - VER
Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Génitif Singulier Commun Participe Futur Actif - VER
Case=Dat|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Datif Singulier Commun Participe Futur Actif - VER
Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Ablatif Singulier Commun Participe Futur Actif - VER
Case=Loc|Numb=Sing|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Locatif Singulier Commun Participe Futur Actif - VER
Case=Nom|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Nominatif Pluriel Commun Participe Futur Actif - VER
Case=Voc|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Vocatif Pluriel Commun Participe Futur Actif - VER
Case=Acc|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Accusatif Pluriel Commun Participe Futur Actif - VER
Case=Gen|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Génitif Pluriel Commun Participe Futur Actif - VER
Case=Dat|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Datif Pluriel Commun Participe Futur Actif - VER
Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Ablatif Pluriel Commun Participe Futur Actif - VER
Case=Loc|Numb=Plur|Gend=Com|Mood=Par|Tense=Fut|Voice=Act	Locatif Pluriel Commun Participe Futur Actif - VER
Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Nominatif Singulier Féminin Participe Futur Actif - VER
